City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,rawson,-43.3002,-65.1023,26.51,18,35,5.61,AR,1677961736
281,sinnai,39.3042,9.2036,9.71,81,20,2.06,IT,1677961736
282,palauig,15.435,119.9045,23.53,74,9,1.15,PH,1677961737
283,matagami,49.7502,-77.6328,3.06,25,20,3.09,CA,1677961738
284,tandur,17.2333,77.5833,24.65,31,1,3.51,IN,1677961738
285,hobbs,32.7026,-103.136,19.48,17,0,3.09,US,1677961620
286,barrie,44.4001,-79.6663,3.9,52,87,3.6,CA,1677961740
287,codrington,-38.2667,141.9667,12.51,91,11,2.72,AU,1677961740
288,taoudenni,22.6783,-3.9836,27.18,12,21,3.97,ML,1677961741
289,fenoarivo atsinanana,-17.3667,49.4167,25.46,81,100,2.87,MG,1677961743
290,harper,4.375,-7.7169,26.97,83,3,2.67,LR,1677961744
291,amot,59.5714,7.9877,-11.07,90,18,2.75,NO,1677961745
292,cap-aux-meules,47.3821,-61.8597,-4.97,68,75,6.17,CA,1677961662
293,okhotsk,59.3833,143.3,-23.61,99,100,2.24,RU,1677961626
294,kirakira,-10.4544,161.9205,26.54,80,100,5.31,SB,1677961747
295,qaqortoq,60.7167,-46.0333,-0.09,98,83,2.81,GL,1677961748
296,jalostotitlan,21.2,-102.4667,27.72,10,95,5.47,MX,1677961749
297,ilulissat,69.2167,-51.1,4.01,60,40,1.54,GL,1677961693
298,saint-georges,12.0564,-61.7485,27.82,69,20,9.26,GD,1677961682
299,tiarei,-17.5333,-149.3333,28.01,81,100,3.98,PF,1677961751
300,kamenka,51.3223,42.7678,-1.13,87,100,7.12,RU,1677961661
301,port augusta,-32.5,137.7667,19.59,63,3,1.42,AU,1677961753
302,muskogee,35.5834,-95.3336,18.34,50,0,4.63,US,1677961731
303,muisne,0.6,-80.0333,25.52,87,96,1.78,EC,1677961754
304,satun,6.8333,100.0,22.0,77,71,2.98,TH,1677961755
305,jumla,29.2747,82.1838,4.83,71,1,1.97,NP,1677961756
306,melilla,35.2937,-2.9383,14.21,62,0,1.54,ES,1677961757
307,shache,38.4167,77.2406,8.81,35,100,2.09,CN,1677961759
308,kompaniyivka,48.2511,32.208,4.24,65,20,4.89,UA,1677961759
309,norman wells,65.282,-126.8329,-24.98,70,40,7.2,CA,1677961738
310,buala,-8.145,159.5921,25.82,82,100,3.49,SB,1677961762
311,saint anthony,45.0205,-93.218,3.41,65,40,5.14,US,1677961762
312,itarema,-2.9248,-39.9167,27.47,79,99,5.63,BR,1677961763
313,ambon,-3.6954,128.1814,25.13,15,40,1.03,ID,1677961764
314,paamiut,61.994,-49.6678,3.01,81,86,8.97,GL,1677961765
315,raisen,23.3333,77.8,23.94,25,51,1.31,IN,1677961765
316,tres arroyos,-38.3739,-60.2798,26.58,17,7,5.56,AR,1677961571
317,suwannaphum,15.6035,103.8021,22.14,68,4,5.71,TH,1677961767
318,mecca,21.4267,39.8261,28.13,49,98,1.13,SA,1677961767
319,anadyr,64.75,177.4833,-17.72,78,75,3.0,RU,1677961479
320,la ronge,55.1001,-105.2842,-11.86,52,75,5.66,CA,1677961769
321,victoria,22.2855,114.1577,18.03,75,0,3.58,HK,1677961670
322,puerto escondido,15.85,-97.0667,29.46,65,0,5.14,MX,1677961771
323,ust-nera,64.5667,143.2,-27.08,99,100,1.82,RU,1677961772
324,leh,34.1667,77.5833,-11.99,86,86,0.39,IN,1677961773
325,maymyo,22.0333,96.4667,17.1,27,0,1.09,MM,1677961774
326,gorom-gorom,14.4439,-0.2361,31.19,9,3,3.85,BF,1677961774
327,giyani,-23.3025,30.7187,22.99,74,1,2.17,ZA,1677961776
328,taltal,-25.4,-70.4833,23.09,72,49,2.78,CL,1677961777
329,bakel,14.905,-12.4568,31.9,10,40,1.89,SN,1677961778
330,lasa,46.6166,10.7002,2.61,85,21,2.73,IT,1677961779
331,grindavik,63.8424,-22.4338,4.97,100,75,2.06,IS,1677961538
332,xuanhua,40.6103,115.0447,4.2,29,0,0.62,CN,1677961780
333,san andres,12.5847,-81.7006,30.01,66,20,6.17,CO,1677961781
334,pemangkat,1.1667,108.9667,23.74,92,100,6.56,ID,1677961782
335,husavik,66.0449,-17.3389,1.1,89,100,3.19,IS,1677961782
336,coihaique,-45.5752,-72.0662,11.34,87,100,1.03,CL,1677961783
337,middle island,40.8843,-72.9373,7.38,77,100,5.14,US,1677961784
338,lagoa,39.05,-27.9833,14.43,69,100,7.37,PT,1677961257
339,bathsheba,13.2167,-59.5167,28.34,65,40,8.23,BB,1677961785
340,koumac,-20.5667,164.2833,25.77,82,0,2.44,NC,1677961786
341,san patricio,28.017,-97.5169,28.4,33,0,5.21,US,1677961787
342,marsa matruh,31.3525,27.2453,17.11,100,0,5.14,EG,1677961493
343,kasungu,-13.0333,33.4833,18.72,94,98,0.86,MW,1677961788
344,kidal,18.4411,1.4078,28.54,8,90,4.71,ML,1677961570
345,kruisfontein,-34.0033,24.7314,21.6,88,0,1.74,ZA,1677961789
346,jhelum,32.9331,73.7264,17.66,45,47,1.2,PK,1677961789
347,patos de minas,-18.5789,-46.5181,28.46,55,3,0.74,BR,1677961790
348,aykhal,66.0,111.5,-19.0,97,100,7.73,RU,1677961792
349,lavrentiya,65.5833,-171.0,-13.55,95,100,4.84,RU,1677961792
350,sciacca,37.5082,13.0881,10.26,85,100,4.24,IT,1677961793
351,chimbote,-9.0853,-78.5783,26.06,69,70,4.79,PE,1677961794
352,shelburne,44.0787,-80.2041,2.44,98,96,4.65,CA,1677961419
353,denpasar,-8.65,115.2167,26.81,88,40,4.12,ID,1677961317
354,abu samrah,35.3029,37.1841,12.51,61,0,3.01,SY,1677961795
355,lake charles,30.2131,-93.2044,24.44,40,0,2.57,US,1677961796
356,kropotkin,45.4375,40.5756,6.23,81,96,8.03,RU,1677961796
357,kattivakkam,13.2167,80.3167,26.05,75,3,2.28,IN,1677961797
358,meulaboh,4.1363,96.1285,23.89,88,79,2.09,ID,1677961798
359,severo-kurilsk,50.6789,156.125,-6.48,72,99,8.96,RU,1677961799
360,vao,-22.6667,167.4833,24.87,78,63,8.45,NC,1677961800
361,mabua,9.8089,125.4422,24.6,85,8,1.04,PH,1677961800
362,bilma,18.6853,12.9164,29.57,11,0,2.86,NE,1677961805
363,nantucket,41.2835,-70.0995,4.08,93,100,13.89,US,1677961806
364,sijunjung,-0.6876,100.9537,20.87,99,95,0.43,ID,1677961807
365,deputatskiy,69.3,139.9,-31.84,99,100,1.36,RU,1677961807
366,umm kaddadah,13.6017,26.6876,23.15,10,5,5.56,SD,1677961808
